epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.306,1.43079,10.052,0.70844,1.82458,1.64445,0.77499,0.60976,0.73053,0.41691,0,0,0,0,1.64873,10.5911,0.70123,1.58873,1.64169,0.00016,0.00016,0.00016
2,32.6231,1.09231,9.64045,0.70532,1.17307,1.37028,0.84457,0.82927,0.91728,0.63781,0,0,0,0,1.13372,10.3305,0.70707,1.23009,1.3737,0.000336634,0.000336634,0.000336634
3,42.6743,1.01301,9.00037,0.70375,0.89047,1.3527,0.84512,0.9317,0.94519,0.61863,0,0,0,0,1.19273,9.69005,0.69769,0.97101,1.38865,0.000509704,0.000509704,0.000509704
4,52.976,1.05533,8.51308,0.69386,0.87197,1.34385,0.85032,0.85366,0.92224,0.62906,0,0,0,0,1.17356,9.68588,0.69797,0.93418,1.41227,0.00067921,0.00067921,0.00067921
5,63.0353,1.04958,8.2842,0.68211,0.8063,1.34169,0.86308,0.76889,0.81168,0.51331,0,0,0,0,1.33133,9.79453,0.69602,1.65542,1.53803,0.000845152,0.000845152,0.000845152
6,73.2329,1.06252,7.89835,0.68131,0.8594,1.32967,0.87781,0.80488,0.92569,0.55069,0.09655,0.04878,0.01983,0.00242,1.28832,9.06424,0.69603,1.26271,1.42253,0.00100753,0.00100753,0.00100753
7,82.855,1.10384,7.8742,0.6743,0.8616,1.36972,0.87538,0.85667,0.87534,0.49872,0,0,0,0,1.75483,8.41658,0.68204,1.46959,1.76749,0.00116634,0.00116634,0.00116634
8,92.5039,1.08176,7.60153,0.67344,0.85775,1.33926,0.84517,0.66583,0.75988,0.51993,0.0299,0.02439,0.00131,0.00013,1.61797,8.46201,0.6806,2.35769,1.753,0.00132159,0.00132159,0.00132159
9,102.548,1.03319,7.27766,0.66943,0.78811,1.30815,0.82653,0.92978,0.9483,0.56299,0.02131,0.02439,0.00102,0.0001,1.59521,8.32004,0.68238,1.78589,1.79197,0.00147328,0.00147328,0.00147328
10,112.583,1.07056,6.79872,0.66482,0.85537,1.32949,0.85017,0.83042,0.84463,0.37623,0,0,0,0,1.97589,8.1896,0.66167,1.80334,2.2242,0.0016214,0.0016214,0.0016214
11,121.741,1.00255,6.92089,0.65942,0.77228,1.24842,0.81214,0.7561,0.76018,0.38966,0.14095,0.09756,0.02626,0.00348,1.97145,7.70693,0.65511,1.90215,2.12603,0.00176596,0.00176596,0.00176596
12,132.267,1.12144,6.68865,0.65311,0.88103,1.33288,0.42369,0.58537,0.58065,0.32395,0.23632,0.12195,0.08346,0.01257,2.016,8.76798,0.66684,2.55322,2.18068,0.0017822,0.0017822,0.0017822
13,141.967,1.09868,6.7374,0.65365,0.83397,1.33254,0.71557,0.61371,0.67597,0.3051,0.25176,0.14634,0.09862,0.02523,2.1145,8.05597,0.66985,2.21545,2.37119,0.0017624,0.0017624,0.0017624
14,147.575,1.04293,6.37728,0.64847,0.8446,1.26186,0.71988,0.7561,0.79835,0.50158,0.18625,0.19512,0.05122,0.00897,1.39772,6.99211,0.65535,2.01673,1.58785,0.0017426,0.0017426,0.0017426
15,153.297,1.12005,6.31698,0.64343,0.84343,1.36032,0.80303,0.58537,0.65062,0.30934,0.13384,0.09756,0.0188,0.00459,1.94013,7.17506,0.6602,2.91858,2.41813,0.0017228,0.0017228,0.0017228
16,159.668,1.07307,6.08395,0.64379,0.87213,1.34867,0.60938,0.65854,0.65332,0.33409,0.44931,0.36585,0.31635,0.05555,1.65565,6.35707,0.65573,1.72008,2.08979,0.001703,0.001703,0.001703
17,165.699,1.06341,6.02701,0.65738,0.79045,1.35186,0.55215,0.65854,0.58495,0.34147,0.14704,0.12195,0.041,0.00853,1.84627,7.18798,0.66182,1.81015,1.91901,0.0016832,0.0016832,0.0016832
18,172.305,1.03719,5.54726,0.63924,0.78651,1.23855,0.84308,0.82927,0.90571,0.66773,0.5255,0.41463,0.34427,0.07105,1.09369,6.29041,0.65298,0.95371,1.31156,0.0016634,0.0016634,0.0016634
